Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
Лолита,Lolita,https://www.kinopoisk.ru/film/12131/,Эдриан Лайн,Франция,1997,драма,"Джереми Айронс, Доминик Суэйн",137.0,7.5,79 134
Неверная,Unfaithful,https://www.kinopoisk.ru/film/869/,Эдриан Лайн,Франция,2002,триллер,"Дайан Лэйн, Ричард Гир",124.0,7.4,79 094
Полицейский с Рублевки. Новогодний беспредел 2,,https://www.kinopoisk.ru/film/1255106/,Илья Куликов,Россия,2019,комедия,"Сергей Бурунов, Роман Попов",85.0,5.8,79 091
Бронкская история,A Bronx Tale,https://www.kinopoisk.ru/film/7466/,Роберт Де Ниро,США,1993,драма,"Роберт Де Ниро, Чазз Пальминтери",121.0,8.0,79 086
Другой мир: Пробуждение,Underworld: Awakening,https://www.kinopoisk.ru/film/472368/,Монс Морлинд,США,2012,фэнтези,"Кейт Бекинсейл, Стивен Ри",85.0,6.3,78 976
Хижина,The Shack,https://www.kinopoisk.ru/film/760904/,Стюарт Хэзелдайн,США,2017,фэнтези,"Сэм Уортингтон, Октавия Спенсер",132.0,7.0,78 980
Сторож,,https://www.kinopoisk.ru/film/1046033/,Юрий Быков,Россия,2019,драма,"Юрий Быков, Владислав Абашин",106.0,6.6,78 954
Generation П,,https://www.kinopoisk.ru/film/104893/,Виктор Гинзбург,Россия,2011,фантастика,"Владимир Епифанцев, Михаил Ефремов",120.0,6.7,78 923
14+,,https://www.kinopoisk.ru/film/781432/,Андрей Зайцев,Россия,2015,мелодрама,"Глеб Калюжный, Ульяна Васькович",106.0,6.6,78 866
Соседи. На тропе войны,Neighbors,https://www.kinopoisk.ru/film/602677/,Николас Столлер,США,2014,комедия,"Сет Роген, Роуз Бирн",97.0,6.0,78 786
Скайлайн,Skyline,https://www.kinopoisk.ru/film/493223/,Колин Штраус,США,2010,фантастика,"Эрик Бальфур, Скотти Томпсон",88.0,4.7,78 592
Хозяин морей: На краю Земли,Master and Commander: The Far Side of the World,https://www.kinopoisk.ru/film/5565/,Питер Уир,США,2003,боевик,"Рассел Кроу, Пол Беттани",138.0,7.6,78 497
Коты-аристократы,The AristoCats,https://www.kinopoisk.ru/film/26656/,Вольфганг Райтерман,США,1970,мультфильм,"Фил Харрис, Ева Габор",78.0,8.1,78 455
Римские приключения,To Rome with Love,https://www.kinopoisk.ru/film/585340/,Вуди Аллен,США,2012,мелодрама,"Вуди Аллен, Алек Болдуин",112.0,7.0,78 431
Хранитель Луны,"Mune, le gardien de la lune",https://www.kinopoisk.ru/film/842910/,Александр Эбоян,Франция,2014,мультфильм,"Омар Си, Изиа Ижлен",85.0,7.4,78 398
Пункт назначения 3,Final Destination 3,https://www.kinopoisk.ru/film/89674/,Джеймс Вон,США,2006,ужасы,"Мэри Элизабет Уинстэд, Райан Мерриман",93.0,6.4,78 395
Джейсон Борн,Jason Bourne,https://www.kinopoisk.ru/film/854942/,Пол Гринграсс,США,2016,боевик,"Мэтт Дэймон, Алисия Викандер",123.0,6.2,78 352
"Порнолоджи, или Милашка как ты",A Nice Girl Like You,https://www.kinopoisk.ru/film/809733/,Крис Райделл,США,2020,комедия,"Люси Хейл, Леонидас Гулаптис",94.0,6.2,78 317
Супер 8,Super 8,https://www.kinopoisk.ru/film/517433/,Джей Джей Абрамс,США,2011,фантастика,"Джоэл Кортни, Эль Фаннинг",108.0,6.5,78 314
Пара на праздники,Holidate,https://www.kinopoisk.ru/film/1245693/,Джон Уайтселл,США,2020,мелодрама,"Эмма Робертс, Люк Брейси",104.0,6.6,78 287
Гарфилд 2: История двух кошечек,Garfield: A Tale of Two Kitties,https://www.kinopoisk.ru/film/104937/,Тим Хилл,Великобритания,2006,комедия,"Брекин Мейер, Дженнифер Лав Хьюитт",82.0,6.3,78 234
Рассказы,,https://www.kinopoisk.ru/film/656093/,Михаил Сегал,Россия,2012,драма,"Андрей Мерзликин, Игорь Угольников",105.0,7.1,78 150
Элементарно,Elemental,https://www.kinopoisk.ru/film/4889667/,Питер Сон,США,2023,мультфильм,"Леа Льюис, Мамуду Ати",101.0,7.7,78 099
Фантастическая четверка,Fantastic Four,https://www.kinopoisk.ru/film/471642/,Джош Транк,США,2015,фантастика,"Майлз Теллер, Майкл Б. Джордан",100.0,4.3,78 001
Томирис,,https://www.kinopoisk.ru/film/1127372/,Акан Сатаев,Казахстан,2019,фэнтези,"Альмира Турсын, Адиль Ахметов",155.0,7.6,77 974
Жених напрокат,Something Borrowed,https://www.kinopoisk.ru/film/463149/,Люк Гринфилд,США,2011,мелодрама,"Джиннифер Гудвин, Кейт Хадсон",113.0,6.2,77 897
Остров на троих,Three,https://www.kinopoisk.ru/film/79893/,Стюарт Рэффил,США,2005,триллер,"Билли Зейн, Келли Брук",95.0,6.0,77 879
Цыпочка,The Hot Chick,https://www.kinopoisk.ru/film/314/,Том Брэди,США,2002,фэнтези,"Роб Шнайдер, Анна Фэрис",104.0,6.9,77 870
Коммандос,Commando,https://www.kinopoisk.ru/film/2238/,Марк Л. Лестер,США,1985,боевик,"Арнольд Шварценеггер, Рэй Дон Чонг",87.0,7.4,77 643
Английский пациент,The English Patient,https://www.kinopoisk.ru/film/7636/,Энтони Мингелла,США,1996,драма,"Рэйф Файнс, Кристин Скотт Томас",162.0,7.9,77 601
Красная Шапочка,Red Riding Hood,https://www.kinopoisk.ru/film/470179/,Кэтрин Хардвик,США,2011,ужасы,"Аманда Сайфред, Гари Олдман",96.0,6.1,77 577
Бабадук,The Babadook,https://www.kinopoisk.ru/film/675216/,Дженнифер Кент,Австралия,2014,ужасы,"Эсси Дэвис, Ной Уайзман",93.0,5.7,77 571
Игра Ганнибала,Night Hunter,https://www.kinopoisk.ru/film/1009626/,Дэвид Рэймонд,Канада,2018,детектив,"Генри Кавилл, Александра Даддарио",98.0,6.5,77 513
«Весёлые» каникулы,Get the Gringo,https://www.kinopoisk.ru/film/492171/,Адриан Грюнберг,США,2011,боевик,"Мэл Гибсон, Кевин Эрнандес",96.0,7.1,77 498
Забирая жизни,Taking Lives,https://www.kinopoisk.ru/film/23148/,Ди Джей Карузо,США,2004,триллер,"Анджелина Джоли, Итан Хоук",103.0,7.2,77 488
Зелёный Шершень,The Green Hornet,https://www.kinopoisk.ru/film/290751/,Мишель Гондри,США,2011,боевик,"Сет Роген, Джей Чоу",119.0,6.0,77 475
Шпион по соседству,The Spy Next Door,https://www.kinopoisk.ru/film/431539/,Брайан Левант,США,2009,боевик,"Джеки Чан, Эмбер Валлетта",94.0,6.2,77 461
Баллада Бастера Скраггса,The Ballad of Buster Scruggs,https://www.kinopoisk.ru/film/1008879/,Итан Коэн,США,2018,вестерн,"Тим Блейк Нельсон, Джеймс Франко",133.0,7.2,77 450
Дитя робота,I Am Mother,https://www.kinopoisk.ru/film/1067645/,Грант Спьютор,Австралия,2018,фантастика,"Клара Ругор, Роуз Бирн",113.0,6.7,77 401
Самый лучший фильм 2,,https://www.kinopoisk.ru/film/416089/,Олег Фомин,Россия,2009,комедия,"Тимур Батрутдинов, Гарик Харламов",80.0,2.9,77 386
Пирамммида,,https://www.kinopoisk.ru/film/464942/,Эльдар Салаватов,Россия,2011,триллер,"Алексей Серебряков, Фёдор Бондарчук",105.0,6.8,77 332
Старый Генри,Old Henry,https://www.kinopoisk.ru/film/4293245/,Потси Пончироли,США,2021,вестерн,"Тим Блейк Нельсон, Скотт Хейз",99.0,7.1,77 321
Рио 2,Rio 2,https://www.kinopoisk.ru/film/677437/,Карлос Салдана,США,2014,мультфильм,"Энн Хэтэуэй, Джесси Айзенберг",101.0,6.7,77 300
Цена страсти,The Ledge,https://www.kinopoisk.ru/film/484621/,Мэтью Чэпмен,Германия,2011,триллер,"Чарли Ханнэм, Лив Тайлер",101.0,7.2,77 284
Ирония судьбы в Голливуде,About Fate,https://www.kinopoisk.ru/film/4448487/,Марюс Вайсберг,США,2022,мелодрама,"Эмма Робертс, Томас Манн",103.0,6.7,77 209
Дюна,Dune,https://www.kinopoisk.ru/film/2882/,Дэвид Линч,США,1984,фантастика,"Кайл Маклоклен, Юрген Прохнов",137.0,6.9,77 170
Пункт назначения 5,Final Destination 5,https://www.kinopoisk.ru/film/506349/,Стивен Куэйл,США,2011,ужасы,"Николас Д’Агосто, Эмма Белл",92.0,6.1,77 105
Пункт назначения 4,The Final Destination,https://www.kinopoisk.ru/film/405753/,Дэвид Р. Эллис,США,2009,ужасы,"Бобби Кампо, Шантель Ван Сантен",82.0,5.7,77 085
Тарзан. Легенда,The Legend of Tarzan,https://www.kinopoisk.ru/film/462491/,Дэвид Йейтс,Великобритания,2016,фэнтези,"Александр Скарсгард, Марго Робби",110.0,6.2,77 081
Август,August: Osage County,https://www.kinopoisk.ru/film/462273/,Джон Уэллс,США,2013,драма,"Мэрил Стрип, Джулия Робертс",121.0,7.4,77 079
У холмов есть глаза,The Hills Have Eyes,https://www.kinopoisk.ru/film/160931/,Александр Ажа,США,2006,ужасы,"Аарон Стэнфорд, Кэтлин Куинлэн",107.0,6.6,77 038
Короче,Downsizing,https://www.kinopoisk.ru/film/462200/,Александр Пэйн,США,2017,фантастика,"Мэтт Дэймон, Кристоф Вальц",135.0,5.7,76 980
Исчезнувший,My Son,https://www.kinopoisk.ru/film/1436464/,Кристиан Карион,Великобритания,2021,триллер,"Джеймс Макэвой, Клэр Фой",91.0,6.2,76 890
Выбор,The Choice,https://www.kinopoisk.ru/film/843209/,Росс Кац,США,2015,драма,"Бенджамин Уокер, Тереза Палмер",111.0,7.0,76 881
Уличный кот по кличке Боб,A Street Cat Named Bob,https://www.kinopoisk.ru/film/930442/,Роджер Споттисвуд,Великобритания,2016,драма,"Люк Тредэвэй, Боб",103.0,7.7,76 844
Последний киногерой,Last Action Hero,https://www.kinopoisk.ru/film/3513/,Джон Мактирнан,США,1993,фэнтези,"Арнольд Шварценеггер, Остин О’Брайен",130.0,7.4,76 762
Девятаев,,https://www.kinopoisk.ru/film/1249213/,Тимур Бекмамбетов,Россия,2021,военный,"Павел Прилучный, Павел Чинарёв",118.0,6.4,76 747
Дед Мороз и лето,,https://www.kinopoisk.ru/film/44110/,Валентин Караваев,СССР,1969,мультфильм,"Евгений Шутов, Евгений Весник",19.0,8.1,76 747
"Я, Франкенштейн","I, Frankenstein",https://www.kinopoisk.ru/film/461934/,Стюарт Битти,США,2013,фэнтези,"Аарон Экхарт, Ивонн Страховски",92.0,5.3,76 702
Волшебное кольцо,,https://www.kinopoisk.ru/film/45834/,Леонид Носырев,СССР,1979,мультфильм,"Евгений Леонов, Юрий Волынцев",19.0,8.6,76 570
Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»,The French Dispatch,https://www.kinopoisk.ru/film/1211076/,Уэс Андерсон,США,2020,драма,"Джеффри Райт, Эдриан Броуди",107.0,7.5,76 504
Заклятье. Дом 32,Malasaña 32,https://www.kinopoisk.ru/film/1303058/,Альберт Пинто,Испания,2020,ужасы,"Бегонья Варгас, Иван Маркос",104.0,5.8,76 471
Бендер: Последняя афера,,https://www.kinopoisk.ru/film/4450232/,Игорь Зайцев,Россия,2021,приключения,"Сергей Безруков, Арам Вардеванян",97.0,7.0,76 255
Девять ярдов 2,The Whole Ten Yards,https://www.kinopoisk.ru/film/8047/,Ховард Дойч,США,2003,триллер,"Брюс Уиллис, Мэттью Перри",98.0,6.9,76 252
Конан-варвар,Conan the Barbarian,https://www.kinopoisk.ru/film/261271/,Маркус Ниспел,США,2011,фэнтези,"Джейсон Момоа, Стивен Лэнг",112.0,5.7,76 180
Миллион способов потерять голову,A Million Ways to Die in the West,https://www.kinopoisk.ru/film/722886/,Сет Макфарлейн,США,2014,комедия,"Сет Макфарлейн, Шарлиз Терон",116.0,6.2,76 167
Эскобар,Loving Pablo,https://www.kinopoisk.ru/film/929885/,Фернандо Леон Де Араноа,Испания,2017,биография,"Хавьер Бардем, Пенелопа Крус",105.0,6.6,76 132
Талли,Tully,https://www.kinopoisk.ru/film/977383/,Джейсон Райтман,США,2017,драма,"Шарлиз Терон, Маккензи Дэвис",94.0,7.1,76 113
Дом грёз,Dream House,https://www.kinopoisk.ru/film/468444/,Джим Шеридан,США,2011,триллер,"Дэниэл Крэйг, Рэйчел Вайс",92.0,6.9,76 005
Рубеж,,https://www.kinopoisk.ru/film/1002714/,Дмитрий Тюрин,Россия,2017,фантастика,"Павел Прилучный, Станислав Дужников",98.0,6.8,75 942
Эксперимент «Офис»,The Belko Experiment,https://www.kinopoisk.ru/film/893603/,Грег МакЛин,США,2017,ужасы,"Джон Галлахер мл., Тони Голдуин",88.0,6.1,75 765
Трудный ребенок,Problem Child,https://www.kinopoisk.ru/film/17696/,Деннис Дуган,США,1990,комедия,"Джон Риттер, Джек Уорден",81.0,7.0,75 747
Знахарь,Znachor,https://www.kinopoisk.ru/film/80749/,Ежи Гоффман,Польша,1981,драма,"Ежи Биньчицкий, Анна Дымна",133.0,8.2,75 726
Гоголь. Страшная месть,,https://www.kinopoisk.ru/film/1114917/,Егор Баранов,Россия,2018,детектив,"Александр Петров, Олег Меньшиков",106.0,6.4,75 708
Любовь в большом городе,,https://www.kinopoisk.ru/film/430602/,Марюс Вайсберг,Россия,2009,комедия,"Вера Брежнева, Алексей Чадов",88.0,6.3,75 672
Женщина-кошка,Catwoman,https://www.kinopoisk.ru/film/3523/,Питоф,США,2004,фэнтези,"Холли Берри, Бенджамин Брэтт",104.0,5.8,75 437
Хищник 2,Predator 2,https://www.kinopoisk.ru/film/2230/,Стивен Хопкинс,США,1990,ужасы,"Дэнни Гловер, Гэри Бьюзи",108.0,7.0,75 387
Астрал 3,Insidious: Chapter 3,https://www.kinopoisk.ru/film/798277/,Ли Уоннелл,США,2015,ужасы,"Стефани Скотт, Лин Шэй",97.0,5.8,75 376
Ганнибал: Восхождение,Hannibal Rising,https://www.kinopoisk.ru/film/50948/,Питер Уэббер,Чехия,2006,триллер,"Гаспар Ульель, Гун Ли",121.0,6.9,75 321
Агент Джонни Инглиш,Johnny English,https://www.kinopoisk.ru/film/7983/,Питер Хауит,Великобритания,2003,боевик,"Роуэн Эткинсон, Натали Имбрулья",84.0,6.7,75 288
Лучше не бывает,As Good as It Gets,https://www.kinopoisk.ru/film/4199/,Джеймс Л. Брукс,США,1997,драма,"Джек Николсон, Хелен Хант",139.0,7.9,75 128
SuperАлиби,Alibi.com,https://www.kinopoisk.ru/film/977842/,Филипп Лашо,Франция,2016,мелодрама,"Филипп Лашо, Элоди Фонтан",89.0,6.8,75 108
Бесстрашный,Huo Yuan Jia,https://www.kinopoisk.ru/film/102161/,Ронни Юй,Китай,2006,боевик,"Джет Ли, Сунь Ли",104.0,8.1,75 098
Бэтмен возвращается,Batman Returns,https://www.kinopoisk.ru/film/898/,Тим Бёртон,США,1992,боевик,"Майкл Китон, Дэнни ДеВито",126.0,7.4,75 039
"Гори, гори ясно",Brightburn,https://www.kinopoisk.ru/film/1199596/,Дэвид Яровески,США,2019,ужасы,"Элизабет Бэнкс, Дэвид Денман",90.0,5.9,75 030
Новогодние приключения Маши и Вити,,https://www.kinopoisk.ru/film/252037/,Геннадий Казанский,СССР,1975,фэнтези,"Ирина Борисова, Михаил Боярский",71.0,7.9,74 980
Заговор дьявола,The Devil Conspiracy,https://www.kinopoisk.ru/film/1238170/,Нэйтан Франковски,Чехия,2022,ужасы,"Элис Орр-Юинг, Джо Дойл",111.0,5.7,74 909
Виктория,,https://www.kinopoisk.ru/film/1438350/,Урал Сафин,Россия,2020,комедия,"Максим Щеголев, Виталия Корниенко",90.0,7.3,74 884
Флирт с дьяволом,Shattered,https://www.kinopoisk.ru/film/4502184/,Луис Прието,США,2021,ужасы,"Камерон Монахэн, Фрэнк Грилло",91.0,6.0,74 863
Райское озеро,Eden Lake,https://www.kinopoisk.ru/film/373158/,Джеймс Уоткинс,Великобритания,2008,ужасы,"Келли Райлли, Майкл Фассбендер",91.0,6.9,74 768
Орел Девятого легиона,The Eagle,https://www.kinopoisk.ru/film/455353/,Кевин Макдональд,США,2010,драма,"Ченнинг Татум, Джейми Белл",114.0,6.8,74 758
Пришельцы,Les visiteurs,https://www.kinopoisk.ru/film/14297/,Жан-Мари Пуаре,Франция,1993,фэнтези,"Кристиан Клавье, Жан Рено",107.0,7.6,74 747
Лара Крофт: Расхитительница гробниц 2 — Колыбель жизни,Lara Croft Tomb Raider: The Cradle of Life,https://www.kinopoisk.ru/film/7988/,Ян де Бонт,США,2003,фэнтези,"Анджелина Джоли, Джерард Батлер",117.0,6.6,74 730
Добыча,Prey,https://www.kinopoisk.ru/film/4324674/,Дэн Трахтенберг,США,2022,ужасы,"Эмбер Мидфандер, Дакота Биверс",100.0,6.6,74 725
Лего Фильм: Бэтмен,The Lego Batman Movie,https://www.kinopoisk.ru/film/843480/,Крис МакКей,США,2017,мультфильм,"Уилл Арнетт, Майкл Сера",104.0,7.1,74 718
Большая игра,State of Play,https://www.kinopoisk.ru/film/261635/,Кевин Макдональд,США,2009,триллер,"Рассел Кроу, Бен Аффлек",127.0,7.2,74 695
Сибирский цирюльник,,https://www.kinopoisk.ru/film/16445/,Никита Михалков,Россия,1998,драма,"Олег Меньшиков, Джулия Ормонд",179.0,7.8,74 515
21 грамм,21 Grams,https://www.kinopoisk.ru/film/9393/,Алехандро Гонсалес Иньярриту,США,2003,триллер,"Шон Пенн, Наоми Уоттс",125.0,7.8,74 459
Тёмное зеркало,Look Away,https://www.kinopoisk.ru/film/1027785/,Асаф Бернштейн,США,2017,ужасы,"Индиа Айсли, Джейсон Айзекс",103.0,5.5,74 448
Спуск,The Descent,https://www.kinopoisk.ru/film/103412/,Нил Маршалл,Великобритания,2005,ужасы,"Шона МакДональд, Натали Джексон Мендоса",99.0,6.8,74 404
Экстаз,Climax,https://www.kinopoisk.ru/film/1118214/,Гаспар Ноэ,Франция,2018,триллер,"София Бутелла, Ромен Гийермик",97.0,6.9,74 324
Донни Браско,Donnie Brasco,https://www.kinopoisk.ru/film/3984/,Майк Ньюэлл,США,1997,драма,"Аль Пачино, Джонни Депп",127.0,7.8,74 314
Мерзлая земля,The Frozen Ground,https://www.kinopoisk.ru/film/601483/,Скотт Уокер,США,2011,триллер,"Николас Кейдж, Джон Кьюсак",105.0,6.5,74 231
Бунтарка,Stick It,https://www.kinopoisk.ru/film/102339/,Джессика Бендинджер,США,2006,драма,"Мисси Перегрим, Джефф Бриджес",103.0,7.1,74 219
Быстрый и мертвый,The Quick and the Dead,https://www.kinopoisk.ru/film/2273/,Сэм Рэйми,США,1995,вестерн,"Шэрон Стоун, Рассел Кроу",108.0,7.3,74 218
Колония Дигнидад,Colonia,https://www.kinopoisk.ru/film/842913/,Флориан Галленбергер,Германия,2015,драма,"Эмма Уотсон, Даниэль Брюль",110.0,7.3,74 214
Монстр,Monster,https://www.kinopoisk.ru/film/6177/,Пэтти Дженкинс,США,2003,триллер,"Шарлиз Терон, Кристина Риччи",109.0,7.2,74 210
Любовь по вызову,"Good Luck to You, Leo Grande",https://www.kinopoisk.ru/film/4413808/,Софи Хайд,Великобритания,2022,драма,"Эмма Томпсон, Дэрил Маккормак",97.0,7.2,74 200
Одноклассники 2,Grown Ups 2,https://www.kinopoisk.ru/film/663191/,Деннис Дуган,США,2013,комедия,"Адам Сэндлер, Кевин Джеймс",101.0,6.0,74 164
"Ананасовый экспресс: Сижу, курю",Pineapple Express,https://www.kinopoisk.ru/film/279596/,Дэвид Гордон Грин,США,2008,боевик,"Сет Роген, Джеймс Франко",114.0,6.7,74 156
Тихий Дон,,https://www.kinopoisk.ru/film/42248/,Сергей Герасимов,СССР,1957,драма,"Петр Глебов, Элина Быстрицкая",350.0,8.2,74 128
Приходи на меня посмотреть,,https://www.kinopoisk.ru/film/40955/,Михаил Агранович,Россия,2000,мелодрама,"Олег Янковский, Ирина Купченко",101.0,8.1,74 125
Монстры на каникулах: Трансформания,Hotel Transylvania: Transformania,https://www.kinopoisk.ru/film/1243552/,Дерек Драймон,США,2022,мультфильм,"Брайан Халл, Энди Сэмберг",87.0,6.4,73 919
Лоракс,The Lorax,https://www.kinopoisk.ru/film/470036/,Крис Рено,США,2012,мультфильм,"Дэнни ДеВито, Эд Хелмс",86.0,6.7,73 904
Вавилон,Babel,https://www.kinopoisk.ru/film/102125/,Алехандро Гонсалес Иньярриту,США,2006,драма,"Брэд Питт, Кейт Бланшетт",143.0,7.6,73 874
Проект «Адам»,The Adam Project,https://www.kinopoisk.ru/film/714185/,Шон Леви,США,2022,фантастика,"Райан Рейнольдс, Уокер Скобелл",106.0,6.6,73 829
Злое,Malignant,https://www.kinopoisk.ru/film/1309482/,Джеймс Ван,США,2021,ужасы,"Аннабелль Уоллис, Мэдди Хассон",111.0,6.3,73 814
Мойдодыр,,https://www.kinopoisk.ru/film/260116/,Иван Иванов-Вано,СССР,1954,мультфильм,"Владимир Грибков, Мария Виноградова",17.0,7.8,73 800
Судья Дредд,Judge Dredd,https://www.kinopoisk.ru/film/5927/,Дэнни Кэннон,США,1995,фантастика,"Сильвестр Сталлоне, Арманд Ассанте",95.0,6.9,73 781
9 1/2 недель,Nine 1/2 Weeks,https://www.kinopoisk.ru/film/12276/,Эдриан Лайн,США,1985,драма,"Микки Рурк, Ким Бейсингер",117.0,7.3,73 764
Середина 90-х,Mid90s,https://www.kinopoisk.ru/film/1040690/,Джона Хилл,США,2018,драма,"Санни Сулджик, Кэтрин Уотерстон",85.0,7.4,73 736
Цветы войны,Jin ling shi san chai,https://www.kinopoisk.ru/film/464561/,Чжан Имоу,Китай,2011,военный,"Кристиан Бэйл, Ни Ни",146.0,7.9,73 661
Герой,,https://www.kinopoisk.ru/film/1115467/,Карен Оганесян,Россия,2019,триллер,"Александр Петров, Владимир Машков",115.0,6.4,73 654
Старик Хоттабыч,,https://www.kinopoisk.ru/film/43976/,Геннадий Казанский,СССР,1956,фэнтези,"Николай Волков, Алексей Литвинов",86.0,7.9,73 652
Опасный метод,A Dangerous Method,https://www.kinopoisk.ru/film/493194/,Дэвид Кроненберг,Великобритания,2011,триллер,"Кира Найтли, Вигго Мортенсен",99.0,6.6,73 619
Пила 4,Saw IV,https://www.kinopoisk.ru/film/271728/,Даррен Линн Боусман,Канада,2007,ужасы,"Тобин Белл, Костас Мэндилор",88.0,6.9,73 569
Добро пожаловать в семью: Повар из Неаполя,,https://www.kinopoisk.ru/film/5091058/,Владимир Зинкевич,Россия,2023,комедия,"Владимир Сычев, Светлана Камынина",89.0,6.4,73 512
Матильда,,https://www.kinopoisk.ru/film/705382/,Алексей Учитель,Россия,2017,драма,"Михалина Ольшаньская, Ларс Айдингер",109.0,5.8,73 503
Полярный экспресс,The Polar Express,https://www.kinopoisk.ru/film/3755/,Роберт Земекис,США,2004,мультфильм,"Том Хэнкс, Лесли Земекис",100.0,7.2,73 410
Несносные леди,Mother's Day,https://www.kinopoisk.ru/film/923901/,Гэрри Маршалл,США,2016,драма,"Дженнифер Энистон, Джулия Робертс",119.0,6.4,73 398
Я — Сэм,I Am Sam,https://www.kinopoisk.ru/film/706/,Джесси Нельсон,США,2001,драма,"Шон Пенн, Мишель Пфайффер",132.0,8.0,73 313
Знаки,Signs,https://www.kinopoisk.ru/film/832/,М. Найт Шьямалан,США,2002,фантастика,"Мэл Гибсон, Хоакин Феникс",106.0,7.0,73 306
Прогулка среди могил,A Walk Among the Tombstones,https://www.kinopoisk.ru/film/596274/,Скотт Фрэнк,США,2014,детектив,"Лиам Нисон, Дэн Стивенс",114.0,6.5,73 258
Щелкунчик,,https://www.kinopoisk.ru/film/276371/,Борис Степанцев,СССР,1973,мультфильм,,27.0,8.0,73 227
"Здравствуйте, я ваша тетя!",,https://www.kinopoisk.ru/film/77276/,Виктор Титов,СССР,1975,комедия,"Александр Калягин, Михаил Козаков",98.0,7.9,73 223
Стукач,Snitch,https://www.kinopoisk.ru/film/586297/,Рик Роман Во,США,2012,триллер,"Дуэйн Джонсон, Барри Пеппер",112.0,6.8,73 175
Парк Юрского периода 3,Jurassic Park III,https://www.kinopoisk.ru/film/2982/,Джо Джонстон,США,2001,фантастика,"Сэм Нил, Уильям Х. Мэйси",92.0,6.7,73 153
Лок,Locke,https://www.kinopoisk.ru/film/736206/,Стивен Найт,Великобритания,2013,драма,"Том Харди, Оливия Колман",85.0,6.9,73 122
Страсти Дон Жуана,Don Jon,https://www.kinopoisk.ru/film/666731/,Джозеф Гордон-Левитт,США,2013,драма,"Джозеф Гордон-Левитт, Скарлетт Йоханссон",90.0,6.2,73 119
Разрушитель,Demolition Man,https://www.kinopoisk.ru/film/4827/,Марко Брамбилла,США,1993,фантастика,"Сильвестр Сталлоне, Уэсли Снайпс",115.0,7.5,73 113
Следствие ведут Колобки,,https://www.kinopoisk.ru/film/417755/,Александр Татарский,СССР,1986,мультфильм,"Леонид Броневой, Алексей Птицын",21.0,8.2,73 112
Бой с тенью,,https://www.kinopoisk.ru/film/81485/,Алексей Сидоров,Россия,2005,боевик,"Денис Никифоров, Андрей Панин",132.0,6.6,73 098
Сто лет тому вперёд,,https://www.kinopoisk.ru/film/1334852/,Александр Андрющенко,Россия,2024,фантастика,"Даша Верещагина, Марк Эйдельштейн",142.0,7.6,73 100
Чучело,,https://www.kinopoisk.ru/film/45524/,Ролан Быков,СССР,1983,драма,"Кристина Орбакайте, Юрий Никулин",127.0,7.9,73 081
Как я стал русским,,https://www.kinopoisk.ru/film/1111720/,Акаки Сахелашвили,Россия,2018,комедия,"Дун Чан, Елизавета Кононова",100.0,6.7,73 055
Любовь и монстры,Love and Monsters,https://www.kinopoisk.ru/film/689489/,Майкл Мэтьюз,Канада,2020,комедия,"Дилан О’Брайен, Хиро",109.0,6.7,73 046
"Весна, лето, осень, зима... и снова весна",Bom yeoreum gaeul gyeoul geurigo bom,https://www.kinopoisk.ru/film/47814/,Ким Ки Дук,Корея Южная,2003,драма,"О Ён-су, Со Джэ-гён",103.0,7.9,72 988
Жизнь Адель,La vie d'Adèle,https://www.kinopoisk.ru/film/669902/,Абделатиф Кешиш,Франция,2013,драма,"Леа Сейду, Адель Экзаркопулос",179.0,7.0,72 934
Сила воли,Race,https://www.kinopoisk.ru/film/823705/,Стивен Хопкинс,Канада,2016,история,"Стефан Джеймс, Джейсон Судейкис",134.0,7.4,72 910
Видок,Vidocq,https://www.kinopoisk.ru/film/872/,Питоф,Франция,2001,фантастика,"Жерар Депардье, Гийом Кане",98.0,7.2,72 905
Чебурашка. Секрет праздника,,https://www.kinopoisk.ru/film/4297471/,Дарина Шмидт,Россия,2020,короткометражка,"Анжелика Варум, Леонид Ярмольник",6.0,8.1,72 824
Джейн Остин,Becoming Jane,https://www.kinopoisk.ru/film/102152/,Джулиан Джаррольд,Великобритания,2006,драма,"Энн Хэтэуэй, Джеймс Макэвой",120.0,7.8,72 727
"С любовью, Саймон","Love, Simon",https://www.kinopoisk.ru/film/1008770/,Грег Берланти,США,2018,драма,"Ник Робинсон, Дженнифер Гарнер",110.0,7.3,72 721
Умник,Monsieur je-sais-tout,https://www.kinopoisk.ru/film/1093831/,Стефан Аршинар,Франция,2018,драма,"Арно Дюкре, Макс Бесетт де Малглейв",99.0,7.8,72 706
Один вдох,,https://www.kinopoisk.ru/film/1112295/,Елена Хазанова,Россия,2020,драма,"Виктория Исакова, Максим Суханов",100.0,7.4,72 685
"Крепкий орешек: Хороший день, чтобы умереть",A Good Day to Die Hard,https://www.kinopoisk.ru/film/500617/,Джон Мур,США,2013,боевик,"Брюс Уиллис, Джай Кортни",101.0,4.9,72 672
Сделка с дьяволом,The Covenant,https://www.kinopoisk.ru/film/161007/,Ренни Харлин,США,2006,ужасы,"Стивен Стрейт, Лаура Рэмси",97.0,6.8,72 649
