Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
Пираты Карибского моря: На странных берегах,Pirates of the Caribbean: On Stranger Tides,https://www.kinopoisk.ru/film/427076/,Роб Маршалл,США,2011,приключения,"Джонни Депп, Пенелопа Крус",136.0,7.3,417 674
Жмурки,,https://www.kinopoisk.ru/film/84830/,Алексей Балабанов,Россия,2005,комедия,"Алексей Панин, Дмитрий Дюжев",111.0,7.2,416 730
Вызов,,https://www.kinopoisk.ru/film/4448519/,Клим Шипенко,Россия,2023,драма,"Юлия Пересильд, Милош Бикович",164.0,7.9,413 768
Король говорит!,The King's Speech,https://www.kinopoisk.ru/film/485311/,Том Хупер,Великобритания,2010,драма,"Колин Фёрт, Джеффри Раш",118.0,8.0,412 149
Монстры на каникулах,Hotel Transylvania,https://www.kinopoisk.ru/film/280174/,Генндий Тартаковский,США,2012,мультфильм,"Адам Сэндлер, Энди Сэмберг",91.0,7.7,411 865
Собачье сердце,,https://www.kinopoisk.ru/film/77335/,Владимир Бортко,СССР,1988,драма,"Евгений Евстигнеев, Владимир Толоконников",136.0,8.4,408 796
В погоне за счастьем,The Pursuit of Happyness,https://www.kinopoisk.ru/film/104938/,Габриэле Муччино,США,2006,драма,"Уилл Смит, Джейден Смит",117.0,8.3,407 597
Варкрафт,Warcraft,https://www.kinopoisk.ru/film/277328/,Дункан Джонс,США,2016,фэнтези,"Трэвис Фиммел, Пола Пэттон",123.0,7.6,407 188
Хоббит: Битва пяти воинств,The Hobbit: The Battle of the Five Armies,https://www.kinopoisk.ru/film/694633/,Питер Джексон,Новая Зеландия,2014,фэнтези,"Мартин Фриман, Иэн Маккеллен",144.0,7.9,406 654
Прибытие,Arrival,https://www.kinopoisk.ru/film/718811/,Дени Вильнёв,США,2016,фантастика,"Эми Адамс, Джереми Реннер",116.0,7.6,406 175
Трансформеры,Transformers,https://www.kinopoisk.ru/film/81288/,Майкл Бэй,США,2007,фантастика,"Шайа ЛаБаф, Меган Фокс",143.0,7.6,405 657
Ван Хельсинг,Van Helsing,https://www.kinopoisk.ru/film/3491/,Стивен Соммерс,США,2004,фэнтези,"Хью Джекман, Кейт Бекинсейл",131.0,7.6,404 663
Добро пожаловать в семью,,https://www.kinopoisk.ru/film/4317395/,Владимир Зинкевич,Беларусь,2021,комедия,"Владимир Сычев, Светлана Камынина",120.0,7.4,404 615
Прислуга,The Help,https://www.kinopoisk.ru/film/470553/,Тейт Тейлор,США,2011,драма,"Эмма Стоун, Виола Дэвис",146.0,8.2,404 607
Основатель,The Founder,https://www.kinopoisk.ru/film/893245/,Джон Ли Хэнкок,США,2016,биография,"Майкл Китон, Ник Офферман",115.0,7.6,404 101
Кунг-фу жеребец,Long ma jing shen,https://www.kinopoisk.ru/film/4632862/,Ларри Ян,Китай,2023,драма,"Джеки Чан, Лю Хаоцюнь",126.0,8.0,403 915
Первый мститель: Противостояние,Captain America: Civil War,https://www.kinopoisk.ru/film/822708/,Энтони Руссо,США,2016,фантастика,"Крис Эванс, Роберт Дауни мл.",142.0,7.4,403 407
Линкольн для адвоката,The Lincoln Lawyer,https://www.kinopoisk.ru/film/461939/,Брэд Фурман,США,2011,криминал,"Мэттью Макконахи, Мариса Томей",114.0,7.9,402 276
Миньоны,Minions,https://www.kinopoisk.ru/film/694051/,Кайл Балда,США,2015,мультфильм,"Сандра Буллок, Джон Хэмм",91.0,6.2,400 883
Безумный Макс: Дорога ярости,Mad Max: Fury Road,https://www.kinopoisk.ru/film/453406/,Джордж Миллер,Австралия,2015,боевик,"Том Харди, Шарлиз Терон",120.0,7.8,399 881
Иллюзия обмана 2,Now You See Me 2,https://www.kinopoisk.ru/film/786958/,Джон М. Чу,США,2016,боевик,"Джесси Айзенберг, Марк Руффало",129.0,6.7,399 495
Джон Уик 2,John Wick: Chapter Two,https://www.kinopoisk.ru/film/885658/,Чад Стахелски,США,2017,боевик,"Киану Ривз, Риккардо Скамарчо",122.0,7.1,399 095
Дневник памяти,The Notebook,https://www.kinopoisk.ru/film/3561/,Ник Кассаветис,США,2004,драма,"Райан Гослинг, Рэйчел Макадамс",124.0,8.2,398 248
Апгрейд,Upgrade,https://www.kinopoisk.ru/film/1009784/,Ли Уоннелл,Австралия,2018,фантастика,"Логан Маршалл-Грин, Мелани Валльехо",100.0,7.6,397 582
Пираты Карибского моря: Мертвецы не рассказывают сказки,Pirates of the Caribbean: Dead Men Tell No Tales,https://www.kinopoisk.ru/film/575180/,Хоаким Роннинг,США,2017,фэнтези,"Джонни Депп, Хавьер Бардем",129.0,6.7,397 479
Балканский рубеж,,https://www.kinopoisk.ru/film/1000443/,Андрей Волгин,Россия,2019,боевик,"Антон Пампушный, Гоша Куценко",151.0,8.0,393 951
Крестный отец,The Godfather,https://www.kinopoisk.ru/film/325/,Фрэнсис Форд Коппола,США,1972,драма,"Марлон Брандо, Аль Пачино",175.0,8.7,393 090
Я худею,,https://www.kinopoisk.ru/film/842037/,Алексей Нужный,Россия,2018,комедия,"Александра Бортич, Ирина Горбачёва",102.0,6.9,392 983
"Знакомьтесь, Джо Блэк",Meet Joe Black,https://www.kinopoisk.ru/film/5059/,Мартин Брест,США,1998,мелодрама,"Брэд Питт, Энтони Хопкинс",178.0,8.1,392 616
Мальчишник в Вегасе,The Hangover,https://www.kinopoisk.ru/film/426004/,Тодд Филлипс,США,2009,комедия,"Брэдли Купер, Эд Хелмс",96.0,7.9,392 130
Алиса в Стране чудес,Alice in Wonderland,https://www.kinopoisk.ru/film/405609/,Тим Бёртон,США,2010,фэнтези,"Джонни Депп, Миа Васиковска",108.0,7.1,391 551
Отряд самоубийц: Миссия навылет,The Suicide Squad,https://www.kinopoisk.ru/film/1008477/,Джеймс Ганн,США,2021,боевик,"Идрис Эльба, Марго Робби",132.0,6.7,391 326
Последний богатырь: Корень зла,,https://www.kinopoisk.ru/film/1249172/,Дмитрий Дьяченко,Россия,2020,фэнтези,"Виктор Хориняк, Мила Сивацкая",121.0,7.2,390 929
Хэнкок,Hancock,https://www.kinopoisk.ru/film/102151/,Питер Берг,США,2008,фантастика,"Уилл Смит, Шарлиз Терон",92.0,7.4,390 920
Форсаж,The Fast and the Furious,https://www.kinopoisk.ru/film/666/,Роб Коэн,США,2001,боевик,"Пол Уокер, Вин Дизель",106.0,7.8,390 867
Ворошиловский стрелок,,https://www.kinopoisk.ru/film/41442/,Станислав Говорухин,Россия,1999,драма,"Михаил Ульянов, Анна Синякина",95.0,7.9,390 568
Сумерки,Twilight,https://www.kinopoisk.ru/film/401177/,Кэтрин Хардвик,США,2008,фэнтези,"Кристен Стюарт, Роберт Паттинсон",122.0,6.7,390 508
Человек-паук: Возвращение домой,Spider-Man: Homecoming,https://www.kinopoisk.ru/film/690593/,Джон Уоттс,США,2017,фантастика,"Том Холланд, Роберт Дауни мл.",133.0,7.2,389 478
Алеша Попович и Тугарин Змей,,https://www.kinopoisk.ru/film/81041/,Константин Бронзит,Россия,2004,мультфильм,"Олег Куликович, Дмитрий Высоцкий",79.0,7.9,388 964
Босс-молокосос,The Boss Baby,https://www.kinopoisk.ru/film/842567/,Том МакГрат,США,2017,мультфильм,"Алек Болдуин, Майлз Кристофер Бакши",97.0,6.5,388 910
Риддик,Riddick,https://www.kinopoisk.ru/film/455767/,Дэвид Туи,Канада,2013,фантастика,"Вин Дизель, Хорди Молья",119.0,6.7,388 850
Книга Илая,The Book of Eli,https://www.kinopoisk.ru/film/424266/,Альберт Хьюз,США,2009,фантастика,"Дензел Вашингтон, Гари Олдман",117.0,7.2,388 706
Человек дождя,Rain Man,https://www.kinopoisk.ru/film/519/,Барри Левинсон,США,1988,драма,"Дастин Хоффман, Том Круз",133.0,8.2,387 815
Аладдин,Aladdin,https://www.kinopoisk.ru/film/1007049/,Гай Ричи,США,2019,мюзикл,"Мена Массуд, Наоми Скотт",128.0,7.3,387 447
Старикам тут не место,No Country for Old Men,https://www.kinopoisk.ru/film/195434/,Итан Коэн,США,2007,триллер,"Томми Ли Джонс, Джош Бролин",122.0,7.8,385 840
Звёздные войны: Эпизод 3 – Месть ситхов,Star Wars: Episode III - Revenge of the Sith,https://www.kinopoisk.ru/film/5619/,Джордж Лукас,США,2005,фантастика,"Юэн Макгрегор, Натали Портман",140.0,8.1,383 823
Пианист,The Pianist,https://www.kinopoisk.ru/film/355/,Роман Полански,Франция,2002,драма,"Эдриан Броуди, Эмилия Фокс",149.0,8.5,383 228
Джон Уик 3,John Wick: Chapter 3 - Parabellum,https://www.kinopoisk.ru/film/1009536/,Чад Стахелски,США,2019,боевик,"Киану Ривз, Холли Берри",130.0,7.0,382 693
Телохранитель киллера,The Hitman's Bodyguard,https://www.kinopoisk.ru/film/835877/,Патрик Хьюз,США,2017,боевик,"Райан Рейнольдс, Сэмюэл Л. Джексон",118.0,7.0,381 608
Мумия,The Mummy,https://www.kinopoisk.ru/film/4484/,Стивен Соммерс,США,1999,фэнтези,"Брендан Фрейзер, Рэйчел Вайс",124.0,7.8,380 524
Крушение,Plane,https://www.kinopoisk.ru/film/1338502/,Жан-Франсуа Рише,Великобритания,2022,боевик,"Джерард Батлер, Майк Колтер",107.0,7.1,380 245
Стажёр,The Intern,https://www.kinopoisk.ru/film/677893/,Нэнси Майерс,США,2015,мелодрама,"Роберт Де Ниро, Энн Хэтэуэй",121.0,7.6,380 084
2012,2012,https://www.kinopoisk.ru/film/413447/,Роланд Эммерих,США,2009,фантастика,"Джон Кьюсак, Аманда Пит",158.0,6.9,379 887
Амели,Le Fabuleux destin d'Amélie Poulain,https://www.kinopoisk.ru/film/341/,Жан-Пьер Жёне,Франция,2001,мелодрама,"Одри Тоту, Матьё Кассовиц",122.0,8.0,378 217
Реквием по мечте,Requiem for a Dream,https://www.kinopoisk.ru/film/367/,Даррен Аронофски,США,2000,драма,"Джаред Лето, Марлон Уайанс",102.0,8.0,378 111
12 лет рабства,12 Years a Slave,https://www.kinopoisk.ru/film/606646/,Стив МакКуин,Великобритания,2013,драма,"Чиветель Эджиофор, Майкл Фассбендер",133.0,7.8,376 317
