Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
Стартрек: Бесконечность,Star Trek Beyond,https://www.kinopoisk.ru/film/734349/,Джастин Лин,США,2016,фантастика,122.0,6.9,151036,Крис Пайн,Закари Куинто,0,0
Диктатор,The Dictator,https://www.kinopoisk.ru/film/518040/,Ларри Чарльз,США,2012,комедия,83.0,6.5,150949,Саша Барон Коэн,Анна Фэрис,0,0
Мадагаскар 3,Madagascar 3: Europe's Most Wanted,https://www.kinopoisk.ru/film/422792/,Эрик Дарнелл,США,2012,мультфильм,95.0,7.4,150932,Бен Стиллер,Крис Рок,0,0
Суррогаты,Surrogates,https://www.kinopoisk.ru/film/397671/,Джонатан Мостоу,США,2009,фантастика,85.0,6.9,150782,Брюс Уиллис,Рада Митчелл,0,0
Чёрный ястреб,Black Hawk Down,https://www.kinopoisk.ru/film/612/,Ридли Скотт,США,2001,военный,144.0,7.8,150613,Джош Хартнетт,Юэн Макгрегор,3,0
Ангел-А,Angel-A,https://www.kinopoisk.ru/film/160929/,Люк Бессон,Франция,2005,фэнтези,91.0,7.8,150518,Жамель Деббуз,Рье Расмуссен,0,0
Ведьмы,The Witches,https://www.kinopoisk.ru/film/279091/,Роберт Земекис,США,2020,фэнтези,104.0,5.7,150144,Джазир Бруно,Октавия Спенсер,1,0
47 ронинов,47 Ronin,https://www.kinopoisk.ru/film/461314/,Карл Ринш,США,2013,фэнтези,128.0,6.8,150040,Киану Ривз,Хироюки Санада,0,0
Пляж,The Beach,https://www.kinopoisk.ru/film/6871/,Дэнни Бойл,Великобритания,2000,триллер,119.0,7.4,149915,Леонардо ДиКаприо,Виржини Ледуайен,1,5
Кто я,Who Am I - Kein System ist sicher,https://www.kinopoisk.ru/film/779602/,Баран бо Одар,Германия,2014,фантастика,102.0,7.4,149791,Том Шиллинг,Элиас М’Барек,0,0
Неуязвимый,Unbreakable,https://www.kinopoisk.ru/film/866/,М. Найт Шьямалан,США,2000,фантастика,106.0,7.1,149675,Брюс Уиллис,Сэмюэл Л. Джексон,1,0
Ледниковый период 4: Континентальный дрейф,Ice Age: Continental Drift,https://www.kinopoisk.ru/film/522180/,Стив Мартино,США,2012,мультфильм,88.0,6.9,149520,Рэй Романо,Джон Легуизамо,0,0
Автостопом по галактике,The Hitchhiker's Guide to the Galaxy,https://www.kinopoisk.ru/film/79834/,Гарт Дженнингс,Великобритания,2005,фантастика,109.0,7.1,149028,Мартин Фриман,Ясин Бей,0,0
Капитан Филлипс,Captain Phillips,https://www.kinopoisk.ru/film/484438/,Пол Гринграсс,США,2013,триллер,134.0,7.6,148946,Том Хэнкс,Бархад Абди,1,5
День радио,,https://www.kinopoisk.ru/film/402979/,Дмитрий Дьяченко,Россия,2008,комедия,98.0,7.7,148822,Ростислав Хаит,Камиль Ларин,0,0
Отец,The Father,https://www.kinopoisk.ru/film/1262160/,Флориан Зеллер,Великобритания,2020,драма,97.0,7.8,148743,Энтони Хопкинс,Оливия Колман,0,6
Догма,Dogma,https://www.kinopoisk.ru/film/6437/,Кевин Смит,США,1999,фэнтези,123.0,7.7,148664,Бен Аффлек,Мэтт Дэймон,0,0
Убийца,Sicario,https://www.kinopoisk.ru/film/817324/,Дени Вильнёв,США,2015,боевик,121.0,7.2,148533,Эмили Блант,Бенисио Дель Торо,1,0
Заражение,Contagion,https://www.kinopoisk.ru/film/501821/,Стивен Содерберг,США,2011,триллер,106.0,6.6,148509,Мэтт Дэймон,Лоренс Фишбёрн,2,0
Побег из Претории,Escape from Pretoria,https://www.kinopoisk.ru/film/1055528/,Фрэнсис Аннан,Великобритания,2020,триллер,106.0,6.9,148499,Дэниэл Рэдклифф,Дэниэл Уэббер,0,0
Три орешка для Золушки,Tre nøtter til Askepott,https://www.kinopoisk.ru/film/1255291/,Сесиль А. Мосли,Норвегия,2021,фэнтези,87.0,6.6,148492,Астрид Смепласс,Бьорн Сундквист,0,0
Кейт и Лео,Kate & Leopold,https://www.kinopoisk.ru/film/724/,Джеймс Мэнголд,США,2001,фэнтези,113.0,7.6,148400,Мег Райан,Хью Джекман,0,1
Ультиматум Борна,The Bourne Ultimatum,https://www.kinopoisk.ru/film/87672/,Пол Гринграсс,США,2007,боевик,115.0,7.7,148269,Мэтт Дэймон,Джулия Стайлз,1,0
Не шутите с Zоханом!,You Don't Mess with the Zohan,https://www.kinopoisk.ru/film/280826/,Деннис Дуган,США,2008,боевик,108.0,6.6,148053,Адам Сэндлер,Джон Туртурро,0,0
Чародеи,,https://www.kinopoisk.ru/film/79450/,Константин Бромберг,СССР,1982,мюзикл,147.0,8.0,148045,Александра Яковлева,Александр Абдулов,0,0
Остров фантазий,Fantasy Island,https://www.kinopoisk.ru/film/462193/,Джефф Уодлоу,США,2020,триллер,109.0,5.8,147997,Майкл Пенья,Мэгги Кью,0,0
Дождливый день в Нью-Йорке,A Rainy Day in New York,https://www.kinopoisk.ru/film/1047626/,Вуди Аллен,США,2019,мелодрама,92.0,7.2,147760,Тимоти Шаламе,Эль Фаннинг,7,1
Завод,,https://www.kinopoisk.ru/film/993591/,Юрий Быков,Россия,2018,криминал,109.0,7.2,147693,Денис Шведов,Андрей Смоляков,0,0
Таинственная река,Mystic River,https://www.kinopoisk.ru/film/3730/,Клинт Иствуд,США,2003,триллер,138.0,7.8,147651,Шон Пенн,Тим Роббинс,4,5
Дом,Home,https://www.kinopoisk.ru/film/688384/,Тим Джонсон,США,2015,мультфильм,93.0,7.3,147382,Джим Парсонс,Рианна,0,0
В диких условиях,Into the Wild,https://www.kinopoisk.ru/film/252626/,Шон Пенн,США,2007,драма,148.0,7.9,146982,Эмиль Хирш,Хэл Холбрук,0,0
"День, когда Земля остановилась",The Day the Earth Stood Still,https://www.kinopoisk.ru/film/280176/,Скотт Дерриксон,США,2008,фантастика,100.0,6.3,146862,Киану Ривз,Дженнифер Коннелли,0,0
Не дыши,Don't Breathe,https://www.kinopoisk.ru/film/910327/,Феде Альварес,США,2015,триллер,88.0,6.7,146817,Стивен Лэнг,Джейн Леви,0,0
Смертельная битва,Mortal Kombat,https://www.kinopoisk.ru/film/22355/,Пол У. С. Андерсон,США,1995,боевик,101.0,7.6,146759,Робин Шоу,Линден Эшби,0,0
Однажды в Ирландии,The Guard,https://www.kinopoisk.ru/film/484474/,Джон Майкл Макдона,Великобритания,2011,триллер,96.0,7.6,146754,Брендан Глисон,Дон Чидл,0,1
28 недель спустя,28 Weeks Later,https://www.kinopoisk.ru/film/197615/,Хуан Карлос Фреснадильо,Великобритания,2007,ужасы,100.0,7.0,146737,Роберт Карлайл,Роуз Бирн,0,0
Винни Пух и день забот,,https://www.kinopoisk.ru/film/45780/,Фёдор Хитрук,СССР,1972,мультфильм,20.0,8.8,146721,Владимир Осенев,Евгений Леонов,0,0
По следам бременских музыкантов,,https://www.kinopoisk.ru/film/43009/,Василий Ливанов,СССР,1973,мультфильм,19.0,8.4,146119,Геннадий Гладков,Анатолий Горохов,0,0
Перелом,Fracture,https://www.kinopoisk.ru/film/220617/,Грегори Хоблит,Германия,2007,триллер,108.0,7.7,145863,Энтони Хопкинс,Райан Гослинг,0,6
Копы в юбках,The Heat,https://www.kinopoisk.ru/film/682716/,Пол Фиг,США,2013,комедия,117.0,6.7,145796,Сандра Буллок,Мелисса Маккарти,0,3
Иван Царевич и Серый Волк 3,,https://www.kinopoisk.ru/film/705346/,Дарина Шмидт,Россия,2015,мультфильм,76.0,6.3,145767,Никита Ефремов,Иван Охлобыстин,0,0
Планета обезьян: Революция,Dawn of the Planet of the Apes,https://www.kinopoisk.ru/film/646674/,Мэтт Ривз,США,2014,фантастика,130.0,7.1,145724,Энди Серкис,Джейсон Кларк,0,0
Барбоскины Team,,https://www.kinopoisk.ru/film/4518842/,Елена Галдобина,Россия,2022,мультфильм,85.0,8.2,145688,Ксения Бржезовская,Екатерина Гороховская,0,0
Магия лунного света,Magic in the Moonlight,https://www.kinopoisk.ru/film/759558/,Вуди Аллен,США,2014,драма,98.0,7.0,145680,Колин Фёрт,Эмма Стоун,7,2
Тепло наших тел,Warm Bodies,https://www.kinopoisk.ru/film/497077/,Джонатан Левин,США,2013,ужасы,98.0,6.9,145673,Николас Холт,Тереза Палмер,0,0
Афера по-американски,American Hustle,https://www.kinopoisk.ru/film/635177/,Дэвид О. Расселл,США,2013,драма,138.0,6.9,145645,Кристиан Бэйл,Эми Адамс,3,1
Спирит: Душа прерий,Spirit: Stallion of the Cimarron,https://www.kinopoisk.ru/film/839/,Келли Эсбёри,США,2002,мультфильм,83.0,8.1,145544,Мэтт Дэймон,Джеймс Кромуэлл,0,0
Блэйд,Blade,https://www.kinopoisk.ru/film/4554/,Стивен Норрингтон,США,1998,боевик,120.0,7.3,145482,Уэсли Снайпс,Стивен Дорфф,0,0
Очень плохие мамочки,Bad Moms,https://www.kinopoisk.ru/film/905378/,Джон Лукас,США,2016,комедия,100.0,6.4,145476,Мила Кунис,Кэтрин Хан,0,0
Интуиция,Serendipity,https://www.kinopoisk.ru/film/821/,Питер Челсом,США,2001,мелодрама,87.0,7.7,145399,Джон Кьюсак,Кейт Бекинсейл,0,0
Элвин и бурундуки,Alvin and the Chipmunks,https://www.kinopoisk.ru/film/278361/,Тим Хилл,США,2007,семейный,87.0,6.2,145358,Джейсон Ли,Дэвид Кросс,0,0
"Девушка, подающая надежды",Promising Young Woman,https://www.kinopoisk.ru/film/1236567/,Эмиральд Феннел,Великобритания,2020,триллер,113.0,6.8,145357,Кэри Маллиган,Бо Бёрнэм,1,3
Чёрная дыра,Pitch Black,https://www.kinopoisk.ru/film/785/,Дэвид Туи,США,1999,ужасы,108.0,7.6,145296,Вин Дизель,Рада Митчелл,0,0
Нечто,The Thing,https://www.kinopoisk.ru/film/8366/,Джон Карпентер,США,1982,ужасы,109.0,7.9,145249,Курт Рассел,Кит Дэвид,0,0
Последний рубеж,Homefront,https://www.kinopoisk.ru/film/683766/,Гэри Фледер,США,2013,боевик,96.0,6.4,145225,Джейсон Стэйтем,Джеймс Франко,0,1
Крепкий орешек 2,Die Hard 2,https://www.kinopoisk.ru/film/7374/,Ренни Харлин,США,1990,боевик,124.0,7.8,145037,Брюс Уиллис,Бонни Беделиа,0,0
Лило и Стич,Lilo & Stitch,https://www.kinopoisk.ru/film/740/,Дин ДеБлуа,США,2002,мультфильм,85.0,7.8,144908,Дэйви Чейз,Крис Сандерс,0,0
Легенда о Зелёном Рыцаре,The Green Knight,https://www.kinopoisk.ru/film/1209476/,Дэвид Лоури,США,2020,фэнтези,130.0,6.2,144700,Дев Патель,Алисия Викандер,0,0
Карлсон вернулся,,https://www.kinopoisk.ru/film/44718/,Борис Степанцев,СССР,1970,мультфильм,20.0,8.5,144685,Фаина Раневская,Василий Ливанов,0,0
Место под соснами,The Place Beyond the Pines,https://www.kinopoisk.ru/film/577673/,Дерек Сиенфрэнс,США,2012,триллер,140.0,7.3,144632,Райан Гослинг,Брэдли Купер,0,6
Инферно,Inferno,https://www.kinopoisk.ru/film/780470/,Рон Ховард,США,2016,боевик,121.0,6.5,144561,Том Хэнкс,Фелисити Джонс,2,6
Не говори никому,Ne le dis à personne,https://www.kinopoisk.ru/film/22936/,Гийом Кане,Франция,2006,триллер,131.0,7.4,144188,Франсуа Клюзе,Мари-Жозе Кроз,0,0
После. Долго и счастливо,After Ever Happy,https://www.kinopoisk.ru/film/1411988/,Кастиль Лэндон,США,2022,мелодрама,95.0,6.0,144149,Джозефин Лэнгфорд,Хиро Файнс Тиффин,0,0
Маленький принц,Le Petit Prince,https://www.kinopoisk.ru/film/572553/,Марк Осборн,Франция,2015,мультфильм,108.0,8.1,144107,Джефф Бриджес,Маккензи Фой,0,3
Плохие парни 2,Bad Boys II,https://www.kinopoisk.ru/film/2928/,Майкл Бэй,США,2003,боевик,141.0,7.6,144030,Уилл Смит,Мартин Лоуренс,0,3
Кролик Джоджо,Jojo Rabbit,https://www.kinopoisk.ru/film/726838/,Тайка Вайтити,Новая Зеландия,2019,комедия,108.0,7.9,143886,Роман Гриффин Дэвис,Томасин Маккензи,0,0
Дневной дозор,,https://www.kinopoisk.ru/film/79925/,Тимур Бекмамбетов,Россия,2005,фэнтези,132.0,6.1,143697,Константин Хабенский,Мария Порошина,0,0
Одноклассники,Grown Ups,https://www.kinopoisk.ru/film/450345/,Деннис Дуган,США,2010,комедия,102.0,6.8,143575,Адам Сэндлер,Кевин Джеймс,0,0
История игрушек 4,Toy Story 4,https://www.kinopoisk.ru/film/846824/,Джош Кули,США,2019,мультфильм,100.0,7.7,143534,Том Хэнкс,Тим Аллен,0,5
Угнать за 60 секунд,Gone in Sixty Seconds,https://www.kinopoisk.ru/film/2011/,Доминик Сена,США,2000,боевик,118.0,7.6,143526,Николас Кейдж,Анджелина Джоли,0,3
Шерлок Холмс и доктор Ватсон: Кровавая надпись,,https://www.kinopoisk.ru/film/77265/,Игорь Масленников,СССР,1979,криминал,66.0,8.4,143465,Василий Ливанов,Виталий Соломин,0,0
Бумер: Фильм второй,,https://www.kinopoisk.ru/film/79883/,Пётр Буслов,Россия,2006,драма,115.0,6.1,143449,Владимир Вдовиченков,Светлана Устинова,0,0
Духless,,https://www.kinopoisk.ru/film/395372/,Роман Прыгунов,Россия,2011,драма,105.0,6.7,143414,Данила Козловский,Мария Андреева,0,0
Родители строгого режима,,https://www.kinopoisk.ru/film/4907342/,Никита Владимиров,Россия,2022,комедия,79.0,7.2,143358,Алиса Фрейндлих,Александр Адабашьян,0,0
"Кловерфилд, 10",10 Cloverfield Lane,https://www.kinopoisk.ru/film/843463/,Дэн Трахтенберг,США,2016,триллер,103.0,6.9,143269,Джон Гудман,Мэри Элизабет Уинстэд,0,0
Миссия невыполнима: Протокол Фантом,Mission: Impossible - Ghost Protocol,https://www.kinopoisk.ru/film/472362/,Брэд Бёрд,США,2011,боевик,132.0,7.3,143177,Том Круз,Пола Пэттон,0,2
После. Глава 3,After We Fell,https://www.kinopoisk.ru/film/1406473/,Кастиль Лэндон,США,2021,драма,98.0,5.9,143070,Джозефин Лэнгфорд,Хиро Файнс Тиффин,0,0
Конец славы,,https://www.kinopoisk.ru/film/5089024/,Марюс Вайсберг,Россия,2023,комедия,95.0,6.8,142838,Павел Деревянко,Сергей Чирков,0,0
Энканто,Encanto,https://www.kinopoisk.ru/film/775278/,Джаред Буш,США,2021,мультфильм,102.0,7.5,142703,Стефани Беатриз,Мария Сесилия Ботеро,0,0
Любовь и другие лекарства,Love & Other Drugs,https://www.kinopoisk.ru/film/463695/,Эдвард Цвик,США,2010,драма,113.0,6.9,142682,Джейк Джилленхол,Энн Хэтэуэй,0,1
Starперцы,Last Vegas,https://www.kinopoisk.ru/film/468571/,Джон Тёртлтауб,США,2013,комедия,105.0,6.9,142668,Майкл Дуглас,Роберт Де Ниро,0,6
Пассажир,The Commuter,https://www.kinopoisk.ru/film/497011/,Жауме Кольет-Серра,США,2018,боевик,104.0,6.8,142634,Лиам Нисон,Вера Фармига,0,1
Полицейская академия,Police Academy,https://www.kinopoisk.ru/film/21205/,Хью Уилсон,США,1984,комедия,92.0,7.9,142420,Стив Гуттенберг,Ким Кэтролл,0,0
На крючке,Eagle Eye,https://www.kinopoisk.ru/film/387477/,Ди Джей Карузо,Германия,2008,фантастика,118.0,7.4,142119,Шайа ЛаБаф,Мишель Монахэн,0,0
Проклятие монахини,The Nun,https://www.kinopoisk.ru/film/991225/,Корин Харди,США,2018,ужасы,96.0,5.7,141956,Демиан Бичир,Таисса Фармига,0,1
Наркокурьер,The Mule,https://www.kinopoisk.ru/film/1142526/,Клинт Иствуд,США,2018,триллер,116.0,7.3,141802,Клинт Иствуд,Брэдли Купер,4,6
Сердцеедки,Heartbreakers,https://www.kinopoisk.ru/film/692/,Дэвид Миркин,США,2001,мелодрама,123.0,7.2,141712,Сигурни Уивер,Дженнифер Лав Хьюитт,0,2
Страшно красив,Beastly,https://www.kinopoisk.ru/film/450470/,Даниел Барнз,США,2011,фэнтези,86.0,6.2,141558,Алекс Петтифер,Ванесса Энн Хадженс,0,0
Ип Ман 4,Yip Man 4,https://www.kinopoisk.ru/film/634254/,Уилсон Ип,Гонконг,2019,боевик,107.0,7.8,141331,Донни Йен,Дэнни Чань,0,0
Лысый нянька: Спецзадание,The Pacifier,https://www.kinopoisk.ru/film/77450/,Адам Шенкман,США,2005,боевик,95.0,6.7,141092,Вин Дизель,Лорен Грэм,0,0
Мальчишник: Часть III,The Hangover Part III,https://www.kinopoisk.ru/film/600847/,Тодд Филлипс,США,2013,комедия,100.0,6.4,141062,Брэдли Купер,Эд Хелмс,1,4
Эйс Вентура 2: Когда зовет природа,Ace Ventura: When Nature Calls,https://www.kinopoisk.ru/film/3679/,Стив Одекерк,США,1995,комедия,90.0,7.3,140985,Джим Керри,Иэн МакНис,0,0
Счастливого дня смерти,Happy Death Day,https://www.kinopoisk.ru/film/1012421/,Кристофер Лэндон,США,2017,ужасы,96.0,6.6,140863,Джессика Рот,Израэль Бруссар,0,0
Тарас Бульба,,https://www.kinopoisk.ru/film/161104/,Владимир Бортко,Россия,2009,боевик,131.0,6.6,140819,Богдан Ступка,Игорь Петренко,0,0
Еще одна из рода Болейн,The Other Boleyn Girl,https://www.kinopoisk.ru/film/195435/,Джастин Чадвик,Великобритания,2008,драма,110.0,7.7,140806,Натали Портман,Скарлетт Йоханссон,0,3
Лев Яшин. Вратарь моей мечты,,https://www.kinopoisk.ru/film/1007986/,Василий Чигинский,Россия,2019,биография,120.0,7.6,140783,Александр Фокин,Юлия Хлынина,0,0
Приглашение к убийству,Invitation to a Murder,https://www.kinopoisk.ru/film/4746012/,Стивен Шимек,Франция,2022,триллер,92.0,6.5,140767,Миша Бартон,Крис Браунинг,0,0
Братья Гримм,The Brothers Grimm,https://www.kinopoisk.ru/film/13469/,Терри Гиллиам,США,2005,фэнтези,118.0,7.0,140494,Мэтт Дэймон,Хит Леджер,0,1
Каникулы президента,,https://www.kinopoisk.ru/film/1047726/,Илья Шерстобитов,Россия,2018,комедия,105.0,6.2,140338,Олег Васильков,Анна Цуканова-Котт,0,0
Хроники Нарнии: Покоритель Зари,The Chronicles of Narnia: The Voyage of the Dawn Treader,https://www.kinopoisk.ru/film/281439/,Майкл Аптед,США,2010,фэнтези,112.0,6.9,140326,Бен Барнс,Скандар Кейнс,0,0
Доктор Сон,Doctor Sleep,https://www.kinopoisk.ru/film/1048255/,Майк Флэнаган,США,2019,триллер,152.0,7.3,140259,Юэн Макгрегор,Ребекка Фергюсон,0,0
Мы купили зоопарк,We Bought a Zoo,https://www.kinopoisk.ru/film/464413/,Кэмерон Кроу,США,2011,драма,124.0,7.7,140055,Мэтт Дэймон,Скарлетт Йоханссон,0,1
Годзилла против Конга,Godzilla vs. Kong,https://www.kinopoisk.ru/film/965936/,Адам Вингард,США,2021,боевик,113.0,6.2,139755,Александр Скарсгард,Милли Бобби Браун,0,0
Больше чем секс,No Strings Attached,https://www.kinopoisk.ru/film/502937/,Айвен Райтман,США,2010,мелодрама,108.0,6.8,139718,Натали Портман,Эштон Кутчер,0,2
Враг государства,Enemy of the State,https://www.kinopoisk.ru/film/3954/,Тони Скотт,США,1998,боевик,132.0,7.8,139678,Уилл Смит,Джин Хэкмен,0,5
Летят журавли,,https://www.kinopoisk.ru/film/7724/,Михаил Калатозов,СССР,1957,военный,95.0,8.3,139432,Татьяна Самойлова,Алексей Баталов,0,0
Need for Speed: Жажда скорости,Need for Speed,https://www.kinopoisk.ru/film/678975/,Скотт Во,США,2014,боевик,130.0,6.8,139334,Аарон Пол,Доминик Купер,0,0
Волк и теленок,,https://www.kinopoisk.ru/film/260226/,Михаил Каменецкий,СССР,1984,мультфильм,10.0,8.6,139267,Олег Табаков,Ольга Громова,0,0
Призрачная красота,Collateral Beauty,https://www.kinopoisk.ru/film/915112/,Дэвид Фрэнкел,США,2016,драма,97.0,7.2,139261,Уилл Смит,Эдвард Нортон,0,4
Золотой телёнок,,https://www.kinopoisk.ru/film/45389/,Михаил Швейцер,СССР,1968,комедия,164.0,8.2,139158,Сергей Юрский,Леонид Куравлёв,0,0
Angry Birds в кино,The Angry Birds Movie,https://www.kinopoisk.ru/film/609618/,Клэй Кэйтис,Финляндия,2016,мультфильм,97.0,6.3,139052,Джейсон Судейкис,Джош Гэд,0,0
Укрась прощальное утро цветами обещания,Sayonara no asa ni yakusoku no hana o kazaro,https://www.kinopoisk.ru/film/1103852/,Мари Окада,Япония,2018,аниме,115.0,8.2,138970,Манака Ивами,Мию Ирино,0,0
Превосходство Борна,The Bourne Supremacy,https://www.kinopoisk.ru/film/41947/,Пол Гринграсс,США,2004,боевик,108.0,7.7,138931,Мэтт Дэймон,Карл Урбан,1,0
Крепкий орешек 4.0,Live Free or Die Hard,https://www.kinopoisk.ru/film/9544/,Лен Уайзман,США,2007,боевик,128.0,7.3,138552,Брюс Уиллис,Джастин Лонг,0,0
Недруги,Hostiles,https://www.kinopoisk.ru/film/963016/,Скотт Купер,США,2017,драма,134.0,7.4,138361,Кристиан Бэйл,Розамунд Пайк,0,1
Большой Стэн,Big Stan,https://www.kinopoisk.ru/film/231150/,Роб Шнайдер,США,2007,боевик,104.0,6.9,138251,Роб Шнайдер,Дэвид Кэрредин,0,0
Нефть,There Will Be Blood,https://www.kinopoisk.ru/film/196604/,Пол Томас Андерсон,США,2007,драма,158.0,7.8,138250,Дэниэл Дэй-Льюис,Пол Дано,3,0
"Влюбись в меня, если осмелишься",Jeux d'enfants,https://www.kinopoisk.ru/film/63920/,Ян Самюэль,Франция,2003,драма,90.0,7.7,138117,Гийом Кане,Марион Котийяр,0,2
Судная ночь,The Purge,https://www.kinopoisk.ru/film/661022/,Джеймс ДеМонако,США,2013,триллер,85.0,6.0,138087,Итан Хоук,Лина Хиди,0,0
Человек-швейцарский нож,Swiss Army Man,https://www.kinopoisk.ru/film/918087/,Дэн Кван,США,2016,фэнтези,97.0,6.8,138069,Пол Дано,Дэниэл Рэдклифф,1,0
Балерина,Ballerina,https://www.kinopoisk.ru/film/674249/,Эрик Саммер,Канада,2016,мультфильм,89.0,7.3,137970,Эль Фаннинг,Дэйн ДеХаан,0,0
Иван Царевич и Серый Волк 2,,https://www.kinopoisk.ru/film/707217/,Владимир Торопчин,Россия,2013,мультфильм,70.0,5.4,137885,Никита Ефремов,Татьяна Бунина,0,0
"Варвара-краса, длинная коса",,https://www.kinopoisk.ru/film/45665/,Александр Роу,СССР,1970,фэнтези,80.0,8.2,137859,Михаил Пуговкин,Георгий Милляр,0,0
Обитель зла 2: Апокалипсис,Resident Evil: Apocalypse,https://www.kinopoisk.ru/film/24186/,Александр Уитт,Германия,2004,ужасы,94.0,6.8,137789,Милла Йовович,Сиенна Гиллори,0,0
Роковое число 23,The Number 23,https://www.kinopoisk.ru/film/178579/,Джоэл Шумахер,США,2006,триллер,98.0,7.1,137743,Джим Керри,Вирджиния Мэдсен,0,0
Семья по-быстрому,Instant Family,https://www.kinopoisk.ru/film/1108494/,Шон Андерс,США,2018,драма,118.0,7.5,137709,Марк Уолберг,Роуз Бирн,0,0
Парни со стволами,War Dogs,https://www.kinopoisk.ru/film/602749/,Тодд Филлипс,США,2016,драма,114.0,6.9,137413,Майлз Теллер,Джона Хилл,1,0
Легион,Legion,https://www.kinopoisk.ru/film/426002/,Скотт Чарльз Стюарт,США,2010,ужасы,100.0,5.6,137406,Пол Беттани,Лукас Блэк,0,0
Бука. Моё любимое чудище,,https://www.kinopoisk.ru/film/893508/,Виктор Глухушин,Россия,2021,мультфильм,98.0,7.7,137263,Любовь Аксёнова,Алексей Чумаков,0,0
Величайший шоумен,The Greatest Showman,https://www.kinopoisk.ru/film/470173/,Майкл Грэйси,США,2017,драма,105.0,7.6,137174,Хью Джекман,Мишель Уильямс,0,4
Сладкий ноябрь,Sweet November,https://www.kinopoisk.ru/film/3795/,Пэт О’Коннор,США,2001,драма,119.0,7.7,137117,Киану Ривз,Шарлиз Терон,0,3
Тайна печати дракона,,https://www.kinopoisk.ru/film/840758/,Олег Степченко,Россия,2019,приключения,121.0,5.9,137020,Джейсон Флеминг,Арнольд Шварценеггер,0,0
Холодное лето пятьдесят третьего...,,https://www.kinopoisk.ru/film/7660/,Александр Прошкин,СССР,1987,драма,102.0,8.2,136983,Валерий Приёмыхов,Анатолий Папанов,0,0
Защитник,Safe,https://www.kinopoisk.ru/film/523057/,Боаз Якин,США,2012,боевик,94.0,6.7,136947,Джейсон Стэйтем,Катрин Чан,0,0
Маугли,,https://www.kinopoisk.ru/film/14000/,Роман Давыдов,СССР,1973,мультфильм,90.0,7.9,136895,Степан Бубнов,Людмила Касаткина,0,0
Девушка в поезде,The Girl on the Train,https://www.kinopoisk.ru/film/928391/,Тейт Тейлор,США,2016,триллер,112.0,6.6,136790,Эмили Блант,Хейли Беннетт,0,0
Воспоминания об убийстве,Salinui chueok,https://www.kinopoisk.ru/film/65770/,Пон Джун-хо,Корея Южная,2003,детектив,131.0,7.6,136673,Сон Кан-хо,Ким Сан-гён,0,0
Фантастическая четверка,Fantastic Four,https://www.kinopoisk.ru/film/23263/,Тим Стори,Германия,2005,фантастика,106.0,6.7,136503,Йоан Гриффит,Джессика Альба,0,0
К звёздам,Ad Astra,https://www.kinopoisk.ru/film/768561/,Джеймс Грэй,США,2019,фантастика,123.0,6.4,136200,Брэд Питт,Томми Ли Джонс,0,3
Миллионер поневоле,Mr. Deeds,https://www.kinopoisk.ru/film/4186/,Стивен Брилл,США,2002,мелодрама,96.0,6.9,135941,Адам Сэндлер,Вайнона Райдер,0,1
Человек-паук: Паутина вселенных,Spider-Man: Across the Spider-Verse,https://www.kinopoisk.ru/film/1219177/,Жуакин Душ Сантуш,США,2023,мультфильм,140.0,8.4,135872,Шамеик Мур,Хейли Стайнфелд,0,0
Нокдаун,Cinderella Man,https://www.kinopoisk.ru/film/12244/,Рон Ховард,США,2005,драма,144.0,8.2,135836,Рассел Кроу,Рене Зеллвегер,2,6
Апокалипсис сегодня,Apocalypse Now,https://www.kinopoisk.ru/film/354/,Фрэнсис Форд Коппола,США,1979,военный,194.0,8.1,135732,Марлон Брандо,Мартин Шин,4,7
Хищники,Predators,https://www.kinopoisk.ru/film/460523/,Нимрод Антал,США,2010,фантастика,107.0,6.5,135712,Эдриан Броуди,Тофер Грейс,0,0
Гараж,,https://www.kinopoisk.ru/film/44467/,Эльдар Рязанов,СССР,1979,драма,96.0,8.1,135694,Валентин Гафт,Ия Саввина,0,0
Обитель теней,Marrowbone,https://www.kinopoisk.ru/film/992500/,Серхио Х. Санчес,Испания,2017,ужасы,110.0,7.1,135663,Джордж Маккэй,Аня Тейлор-Джой,0,0
Бриджит Джонс: Грани разумного,Bridget Jones: The Edge of Reason,https://www.kinopoisk.ru/film/48173/,Бибан Кидрон,Великобритания,2004,драма,108.0,7.2,135439,Рене Зеллвегер,Колин Фёрт,0,3
"Облачно, возможны осадки в виде фрикаделек",Cloudy with a Chance of Meatballs,https://www.kinopoisk.ru/film/276363/,Фил Лорд,США,2009,мультфильм,90.0,6.9,135381,Билл Хейдер,Анна Фэрис,0,0
Призрачный гонщик 2,Ghost Rider: Spirit of Vengeance,https://www.kinopoisk.ru/film/391886/,Марк Невелдайн,США,2012,фэнтези,96.0,4.9,135208,Николас Кейдж,Киран Хайндс,0,2
Ограбление по-итальянски,The Italian Job,https://www.kinopoisk.ru/film/318/,Ф. Гэри Грей,США,2003,боевик,111.0,7.6,135206,Шарлиз Терон,Марк Уолберг,0,3
Геошторм,Geostorm,https://www.kinopoisk.ru/film/597129/,Дин Девлин,США,2017,фантастика,109.0,5.8,135137,Джерард Батлер,Джим Стёрджесс,0,0
